Date,Treatment,Time,Time of day,Sample Name,Peak,pH,Alkalinity_all,2 Best Values,Alkalinity_best,Alk_seacard,Temperature,Salinity
2021-02-19,Stable,13:00,Midday,20210219RS13:00,No,8.164,2.304356711,,2.296509353,0.002296509,27.272,35
2021-02-19,Stable,13:00,Midday,20210219RS13:00,No,8.204,2.29910629,,2.29753469,0.002297535,27.272,35
2021-02-19,Variable,1:00,Night,20210219RF01:00,Yes,7.833,2.286245621,2.286245621,2.286532208,0.002286532,27.3945,35
2021-02-19,Variable,1:00,Night,20210219RF01:00,Yes,7.844,2.287387463,2.287387463,2.287251276,0.002287251,27.3945,35
2021-02-19,Variable,1:00,Night,20210219RF01:00,Yes,7.862,2.286831927,,2.283966546,0.002283967,27.3945,35
2021-02-19,Stable,1:00,Night,20210219RS01:00,Yes,8.033,2.282258006,,2.281630962,0.002281631,27.1485,35
2021-02-19,Stable,1:00,Night,20210219RS01:00,Yes,8.046,2.285172271,,2.282208961,0.002282209,27.1485,35
2021-02-19,Stable,1:00,Night,20210219RS01:00,Yes,8.039,2.285278944,2.285278944,2.28534351,0.002285344,27.1485,35
2021-02-26,Variable,12:00,Midday,20210226RF1200-1-4,No,8.241,2.28513023,2.28513023,2.285375249,0.002285375,27.947,35
2021-02-26,Variable,12:00,Midday,20210226RF1200-2-4,No,8.236,2.288144311,2.288144311,2.288092219,0.002288092,27.947,35
2021-02-26,Variable,12:00,Midday,20210226RF1200-3-4,No,8.219,2.283356313,,2.284180411,0.00228418,27.947,35
2021-02-26,Stable,12:00,Midday,20210226RS1200-1-4,No,8.191,2.287276519,,2.281969649,0.00228197,27.94793333,35
2021-02-26,Stable,12:00,Midday,20210226RS1200-2-4,No,8.188,2.283794562,,2.286611094,0.002286611,27.94793333,35
2021-02-26,Stable,12:00,Midday,20210226RS1200-3-4,No,8.19,2.287125313,,2.288423645,0.002288424,27.94793333,35
2021-02-26,Variable,1:00,Night,20210226RF0100-1-4,Yes,7.909,2.272553936,2.272553936,2.270224413,0.002270224,27.85492308,35
2021-02-26,Variable,1:00,Night,20210226RF0100-2-4,Yes,7.957,2.237004945,2.237004945,2.236959693,0.00223696,27.85492308,35
2021-02-26,Variable,1:00,Night,20210226RF0100-3-4,Yes,7.946,2.236692776,2.236692776,2.236501546,0.002236502,27.85492308,35
2021-02-26,Stable,1:00,Night,20210226RS0100-1-4,Yes,8.04,2.234787064,,2.237216581,0.002237217,27.80614286,35
2021-02-26,Stable,1:00,Night,20210226RS0100-2-4,Yes,8.049,2.235230241,2.235230241,2.235346645,0.002235347,27.80614286,35
2021-02-26,Stable,1:00,Night,20210226RS0100-3-4,Yes,8.039,2.235436346,2.235436346,2.23519632,0.002235196,27.80614286,35
2021-03-05,Variable,12:00,Midday,20210305RF1200-1-4,No,8.208,2.283621917,2.283621917,2.282906175,0.002282906,26.60628571,35
2021-03-05,Variable,12:00,Midday,20210305RF1200-2-4,No,8.197,2.282044143,,2.281328983,0.002281329,26.60628571,35
2021-03-05,Variable,12:00,Midday,20210305RF1200-3-4,No,8.206,2.279959928,,2.28203999,0.00228204,26.60628571,35
2021-03-05,Stable,12:00,Midday,20210305RS1200-1-4,No,8.17,2.275735636,2.275735636,2.275515903,0.002275516,27.026,35
2021-03-05,Stable,12:00,Midday,20210305RS1200-2-4,No,8.171,2.276061222,2.276061222,2.277156675,0.002277157,27.026,35
2021-03-05,Stable,12:00,Midday,20210305RS1200-3-4,No,8.202,2.2700998,,2.278567669,0.002278568,27.026,35
2021-03-05,Variable,1:00,Night,20210305RF0100-1-4,Yes,7.908,2.272750896,,2.26901699,0.002269017,27.00966667,35
2021-03-05,Variable,1:00,Night,20210305RF0100-2-4,Yes,7.913,2.269052038,,2.265171132,0.002265171,27.00966667,35
2021-03-05,Variable,1:00,Night,20210305RF0100-3-4,Yes,7.893,2.268815512,,2.266855064,0.002266855,27.00966667,35
2021-03-05,Stable,1:00,Night,20210305RS0100-1-4,Yes,8.04,2.267411841,,2.263188235,0.002263188,26.5658,35
2021-03-05,Stable,1:00,Night,20210305RS0100-2-4,Yes,8.044,2.26503238,2.26503238,2.265561599,0.002265562,26.5658,35
2021-03-05,Stable,1:00,Night,20210305RS0100-3-4,Yes,8.036,2.265292247,,2.264955958,0.002264956,26.5658,35
2021-03-12,Variable,12:00,Midday,20210312RF1200-1-4,No,8.177,2.283339473,2.283339473,2.283151637,0.002283152,27.69342857,35
2021-03-12,Variable,12:00,Midday,20210312RF1200-2-4,No,8.179,2.283425371,,2.280443489,0.002280443,27.69342857,35
2021-03-12,Variable,12:00,Midday,20210312RF1200-3-4,No,8.149,2.373820512,,2.282898489,0.002282898,27.69342857,35
2021-03-12,Stable,12:00,Midday,20210312RS1200-1-4,No,8.12,2.286816714,2.286816714,2.286768159,0.002286768,27.6916,35
2021-03-12,Stable,12:00,Midday,20210312RS1200-2-4,No,8.118,2.278926353,2.278926353,2.277748449,0.002277748,27.6916,35
2021-03-12,Stable,12:00,Midday,20210312RS1200-3-4,No,8.145,2.292006241,,2.294766327,0.002294766,27.6916,35
2021-03-12,Variable,1:00,Night,20210312RF0100-1-4,Yes,7.796,2.261099123,2.261099123,2.261218054,0.002261218,27.55278571,35
2021-03-12,Variable,1:00,Night,20210312RF0100-2-4,Yes,7.813,2.263768254,2.263768254,2.263778031,0.002263778,27.55278571,35
2021-03-12,Variable,1:00,Night,20210312RF0100-3-4,Yes,7.824,2.263901968,2.263901968,2.264294246,0.002264294,27.55278571,35
2021-03-12,Stable,1:00,Night,20210312RS0100-1-4,Yes,8.022,2.252063969,2.252063969,2.251900495,0.0022519,27.50357143,35
2021-03-12,Stable,1:00,Night,20210312RS0100-2-4,Yes,8.016,2.244641202,2.244641202,2.244488251,0.002244488,27.50357143,35
2021-03-12,Stable,1:00,Night,20210312RS0100-3-4,Yes,8.051,2.261745785,,2.257819262,0.002257819,27.50357143,35
2021-03-19,Variable,12:00,Midday,20210319RF1200-1-4,No,8.165,2.265424535,,2.272805228,0.002272805,27.8425,35
2021-03-19,Variable,12:00,Midday,20210319RF1200-2-4,No,8.17,2.27043726,,2.26845439,0.002268454,27.8425,35
2021-03-19,Variable,12:00,Midday,20210319RF1200-3-4,No,8.174,2.268827094,,2.26542362,0.002265424,27.8425,35
2021-03-19,Stable,12:00,Midday,20210319RS1200-1-4,No,8.12,2.273851506,,2.272722569,0.002272723,27.8524,35
2021-03-19,Stable,12:00,Midday,20210319RS1200-2-4,No,8.142,2.274180429,2.274180429,2.274477476,0.002274477,27.8524,35
2021-03-19,Stable,12:00,Midday,20210319RS1200-3-4,No,8.145,2.273879574,,2.276131584,0.002276132,27.8524,35
2021-03-19,Variable,1:00,Night,20210319RF0100-1-4,Yes,7.911,2.235267821,2.235267821,2.235430916,0.002235431,27.42292308,35
2021-03-19,Variable,1:00,Night,20210319RF0100-2-4,Yes,7.91,2.233144667,2.233144667,2.233269847,0.00223327,27.42292308,35
2021-03-19,Variable,1:00,Night,20210319RF0100-3-4,Yes,7.909,2.231246624,2.231246624,2.231398141,0.002231398,27.42292308,35
2021-03-19,Stable,1:00,Night,20210319RS0100-1-4,Yes,8.003,2.226314879,,2.22802538,0.002228025,27.37753846,35
2021-03-19,Stable,1:00,Night,20210319RS0100-2-4,Yes,8.023,2.231528046,,2.227743128,0.002227743,27.37753846,35
2021-03-19,Stable,1:00,Night,20210319RS0100-3-4,Yes,8.005,2.218599748,,2.223109629,0.00222311,27.37753846,35
